"Date","Price","Open","High","Low","Vol.","Change %"
"12/11/2023","256.51","265.17","266.47","255.90","69.72M","-3.26%"
"12/08/2023","265.16","266.00","268.23","263.72","35.36M","0.02%"
"12/07/2023","265.12","267.62","270.44","263.06","63.56M","-0.92%"
"12/06/2023","267.58","279.92","280.79","266.83","100.02M","-4.31%"
"12/05/2023","279.62","271.98","279.65","270.54","46.89M","3.20%"
"12/04/2023","270.96","273.60","274.95","270.52","37.70M","-1.10%"
"12/01/2023","273.97","277.00","277.98","273.55","31.66M","-1.27%"
"11/30/2023","277.50","276.70","278.65","272.75","55.87M","0.25%"
"11/29/2023","276.80","279.36","280.56","276.20","29.82M","-1.11%"
"11/28/2023","279.91","282.40","282.51","277.32","45.51M","-0.86%"
"11/27/2023","282.33","287.40","289.00","278.88","79.15M","-1.58%"
"11/24/2023","286.85","286.49","287.50","285.11","26.07M","0.23%"
"11/23/2023","286.19","286.16","287.77","285.04","27.72M","0.01%"
"11/22/2023","286.16","283.12","286.67","282.85","47.30M","1.19%"
"11/21/2023","282.79","282.30","283.82","281.66","19.10M","-0.04%"
"11/20/2023","282.91","281.96","284.20","281.61","25.29M","0.47%"
"11/17/2023","281.60","279.70","282.50","278.66","31.32M","0.68%"
"11/16/2023","279.70","282.40","283.69","279.56","24.70M","-1.13%"
"11/15/2023","282.89","280.87","283.93","278.51","41.84M","0.72%"
"11/14/2023","280.87","283.70","283.88","280.54","40.48M","-1.09%"
"11/13/2023","283.97","280.40","284.80","280.32","45.89M","1.35%"
